t,a,b
1579598596052,"[[8654.35,0.288889],[8654.39,0.148751],[8654.4,0.402485],[8654.44,0.014156],[8654.49,0.04],[8654.81,0.011547],[8654.94,2],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25]]","[[8653.27,0.138112],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252],[8650.92,0.1],[8650.55,0.299255],[8650.5,0.405773]]"
1579598596151,"[[8654.32,0.28704],[8654.35,0.288889],[8654.38,0.113596],[8654.39,0.148751],[8654.44,0.014156],[8654.49,0.04],[8654.81,0.011547],[8654.94,2],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6]]","[[8653.27,0.138112],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252],[8650.92,0.1],[8650.55,0.299255],[8650.5,0.405773]]"
1579598596249,"[[8654.32,0.28704],[8654.33,0.288891],[8654.34,0.288891],[8654.35,0.288889],[8654.38,0.113596],[8654.39,0.148751],[8654.44,0.014156],[8654.49,0.04],[8654.81,0.011547],[8654.94,2],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5]]","[[8653.27,0.138112],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252],[8650.92,0.1],[8650.55,0.299255],[8650.5,0.405773]]"
1579598596351,"[[8654.27,0.288891],[8654.31,2],[8654.32,0.28704],[8654.33,0.288891],[8654.36,0.113596],[8654.39,0.148751],[8654.44,0.014156],[8654.49,0.04],[8654.81,0.011547],[8654.94,2],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5]]","[[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252],[8650.92,0.1],[8650.55,0.299255],[8650.5,0.405773],[8650.46,0.04]]"
1579598596450,"[[8654.24,0.288892],[8654.27,0.288891],[8654.31,2],[8654.34,0.113596],[8654.39,0.148751],[8654.44,0.014156],[8654.49,0.04],[8654.81,0.011547],[8654.94,2],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5]]","[[8653.21,0.011554],[8653.12,3.937098],[8653.05,0.152987],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252],[8650.92,0.1],[8650.55,0.299255],[8650.5,0.405773]]"
1579598596547,"[[8654.23,0.145216],[8654.24,0.288892],[8654.25,0.288893],[8654.27,0.288891],[8654.31,2],[8654.34,0.113596],[8654.44,0.014156],[8654.49,0.04],[8654.81,0.011547],[8654.94,2],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5]]","[[8653.21,0.011554],[8653.12,3.937098],[8653.05,0.152987],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252],[8650.92,0.1],[8650.55,0.299255],[8650.5,0.405773]]"
1579598596649,"[[8654.23,0.145216],[8654.24,0.288892],[8654.25,0.288893],[8654.27,0.288891],[8654.31,2],[8654.34,0.113596],[8654.44,0.014156],[8654.49,0.04],[8654.81,0.011547],[8654.94,2],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5]]","[[8653.21,0.011554],[8653.12,3.937098],[8653.05,0.152987],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252],[8650.92,0.1],[8650.55,0.299255],[8650.5,0.405773]]"
1579598596751,"[[8654.19,0.288893],[8654.22,2],[8654.23,0.145216],[8654.24,0.288892],[8654.25,0.288893],[8654.31,2],[8654.34,0.113596],[8654.44,0.014156],[8654.49,0.04],[8654.81,0.011547],[8654.94,2],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835]]","[[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.08,0.154859],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252],[8650.92,0.1],[8650.55,0.299255]]"
1579598596852,"[[8654.18,0.288893],[8654.23,0.145216],[8654.34,0.113596],[8654.44,0.014156],[8654.49,0.04],[8654.81,0.011547],[8654.94,2],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25]]","[[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.08,0.154859],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252],[8650.92,0.1],[8650.55,0.299255]]"
1579598596946,"[[8654.44,0.014156],[8654.49,0.04],[8654.81,0.011547],[8654.94,2],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.41,0.06],[8658.48,0.2],[8658.54,0.122908]]","[[8653.29,0.288892],[8653.27,0.154672],[8653.26,0.288894],[8653.22,6.158393],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252]]"
1579598597050,"[[8654.44,0.003936],[8654.49,0.04],[8654.72,0.154672],[8654.73,0.113596],[8654.81,0.011547],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.41,0.06],[8658.48,0.2]]","[[8653.34,0.288888],[8653.29,0.288892],[8653.27,2.154672],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252]]"
1579598597149,"[[8654.43,0.154672],[8654.44,0.000018],[8654.49,0.04],[8654.62,0.113596],[8654.73,0.113596],[8654.81,0.011547],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.41,0.06]]","[[8653.4,0.146801],[8653.39,0.288887],[8653.34,0.288888],[8653.27,2.154672],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101]]"
1579598597251,"[[8654.43,0.131409],[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.41,0.06],[8658.48,0.2]]","[[8653.46,0.14808],[8653.44,0.288887],[8653.39,0.288887],[8653.27,2.154672],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101]]"
1579598597350,"[[8654.43,0.131409],[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.41,0.06],[8658.48,0.2]]","[[8653.46,0.14808],[8653.44,0.288887],[8653.39,0.288887],[8653.27,2.154672],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101]]"
1579598597451,"[[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.41,0.06],[8658.48,0.2],[8658.54,0.122908]]","[[8653.53,0.157779],[8653.5,0.288886],[8653.47,0.154672],[8653.44,0.288887],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625]]"
1579598597551,"[[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.41,0.06],[8658.48,0.2],[8658.54,0.122908]]","[[8653.63,0.157095],[8653.57,0.288884],[8653.47,0.154672],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101]]"
1579598597651,"[[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.41,0.06],[8658.48,0.2],[8658.54,0.122908]]","[[8653.72,0.154586],[8653.67,0.288883],[8653.47,0.154672],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101]]"
1579598597751,"[[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.41,0.06],[8658.48,0.2],[8658.54,0.122908]]","[[8653.85,0.28888],[8653.28,0.154672],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252]]"
1579598597850,"[[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.41,0.06],[8658.48,0.2],[8658.54,0.122908]]","[[8653.93,0.288878],[8653.89,0.148441],[8653.28,0.154672],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101]]"
1579598597949,"[[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06],[8658.48,0.2]]","[[8654.01,0.288877],[8653.97,0.157369],[8653.28,0.154672],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101]]"
1579598598051,"[[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06],[8658.48,0.2]]","[[8654.11,0.147208],[8654.08,0.288876],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252]]"
1579598598149,"[[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06],[8658.48,0.2]]","[[8654.18,0.15435],[8654.15,0.288875],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252]]"
1579598598250,"[[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06],[8658.48,0.2]]","[[8654.18,0.15435],[8654.15,0.288875],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252]]"
1579598598351,"[[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06],[8658.48,0.2]]","[[8654.18,0.15435],[8654.15,0.288875],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252]]"
1579598598450,"[[8654.44,0.000018],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.56,0.5],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06],[8658.48,0.2]]","[[8654.3,0.152556],[8654.28,0.288872],[8654.22,0.288873],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101]]"
1579598598548,"[[8654.42,0.119718],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06],[8658.48,0.2],[8658.54,0.122908]]","[[8654.34,0.288871],[8654.28,0.288872],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101],[8651,0.108252]]"
1579598598650,"[[8654.42,0.109114],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06],[8658.48,0.2],[8658.54,0.122908]]","[[8654.37,0.288871],[8654.34,0.288871],[8654.19,0.153548],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625],[8651.19,0.231101]]"
1579598598752,"[[8654.42,0.109114],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.58,0.5],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06],[8658.48,0.2]]","[[8654.37,0.288871],[8654.36,0.288871],[8654.34,0.288871],[8654.19,0.153548],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4],[8651.52,0.033625]]"
1579598598851,"[[8654.42,0.109114],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.58,0.5],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06],[8658.48,0.2]]","[[8654.37,0.276871],[8654.36,0.288871],[8654.35,0.288871],[8654.34,0.288871],[8654.19,0.153548],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402],[8651.66,4]]"
1579598598951,"[[8654.42,0.109114],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.58,0.5],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06],[8658.48,0.2]]","[[8654.37,0.276871],[8654.36,0.288871],[8654.35,0.288871],[8654.34,0.288871],[8654.33,0.288871],[8654.19,0.153548],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402]]"
1579598599049,"[[8654.42,0.09851],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.58,0.5],[8656.65,0.305],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06]]","[[8654.36,0.288871],[8654.35,0.288871],[8654.34,0.288871],[8654.33,0.288871],[8654.32,0.288871],[8654.31,0.288871],[8654.22,0.154228],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.21,0.5],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104]]"
1579598599149,"[[8654.42,0.09851],[8654.49,0.04],[8654.81,0.011547],[8656.45,0.250454],[8656.46,0.00645],[8656.47,0.262232],[8656.49,1],[8656.5,0.128515],[8656.58,0.5],[8656.65,0.305],[8656.99,0.348305],[8657,0.45301],[8657.03,0.288879],[8657.04,0.061697],[8657.54,0.126835],[8657.57,0.5],[8657.93,0.6],[8657.94,1.25],[8658.4,0.191414],[8658.41,0.06]]","[[8654.34,0.288871],[8654.33,0.288871],[8654.32,0.288871],[8654.31,0.288871],[8654.3,0.288871],[8654.22,0.154228],[8653.27,2],[8653.22,4],[8653.21,0.011554],[8653.12,3.937098],[8653.04,0.125568],[8652.4,0.5],[8652.38,0.5],[8652.36,1],[8652.35,0.020281],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8651.7,0.04593],[8651.67,0.119402]]"
