t,a,b
1579598567948,"[[8654.62,0.288876],[8654.63,0.288877],[8654.64,0.288877],[8654.65,0.288875],[8654.69,2.034405],[8654.76,2],[8654.82,0.189958],[8654.87,2],[8654.88,0.104214],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1]]","[[8653.81,3.988],[8653.76,0.157732],[8653.74,0.034667],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.52,0.033625],[8651,0.008252]]"
1579598568050,"[[8654.54,0.288877],[8654.55,0.288878],[8654.57,0.288877],[8654.61,2],[8654.69,2.034405],[8654.76,2],[8654.82,0.189958],[8654.84,0.105785],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1],[8657.48,0.5]]","[[8653.81,3.988],[8653.74,0.034667],[8653.53,0.150476],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.54,1.25],[8651.52,0.033625]]"
1579598568151,"[[8654.54,0.288877],[8654.55,0.288878],[8654.56,0.288878],[8654.57,0.288877],[8654.61,2],[8654.69,2.034405],[8654.76,2],[8654.82,0.189958],[8654.84,0.105785],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1]]","[[8654.31,0.00193],[8654.21,0.00193],[8654.11,0.00193],[8653.81,3.988],[8653.74,0.034667],[8653.53,0.150476],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4]]"
1579598568247,"[[8654.53,2],[8654.54,0.288877],[8654.55,0.288878],[8654.56,0.288878],[8654.57,0.288877],[8654.58,0.28887],[8654.61,2],[8654.69,2.034405],[8654.82,0.189958],[8654.84,0.105785],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697]]","[[8654.31,0.00061],[8654.21,0.00193],[8654.11,0.00193],[8653.81,3.988],[8653.74,0.034667],[8653.53,0.150476],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4]]"
1579598568348,"[[8654.46,0.288868],[8654.48,0.187685],[8654.49,0.28887],[8654.53,2],[8654.61,2],[8654.69,2.034405],[8654.8,0.105785],[8654.82,0.105785],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1],[8657.48,0.5]]","[[8654.31,0.00061],[8654.21,0.00193],[8654.11,0.00193],[8653.81,3.988],[8653.74,0.034667],[8653.53,0.150476],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4]]"
1579598568448,"[[8654.43,0.288871],[8654.46,0.288868],[8654.48,0.187685],[8654.49,0.28887],[8654.53,2],[8654.69,2.034405],[8654.8,0.105785],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1],[8657.48,0.5],[8657.67,0.5]]","[[8654.31,0.00061],[8654.21,0.00193],[8654.11,0.00193],[8653.74,0.034667],[8653.53,0.150476],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.61,1.25],[8651.52,0.033625]]"
1579598568547,"[[8654.42,2],[8654.43,0.288871],[8654.44,0.288871],[8654.46,0.394653],[8654.48,0.187685],[8654.49,0.28887],[8654.53,2],[8654.69,2.034405],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1],[8657.48,0.5]]","[[8654.31,0.00061],[8654.21,0.00193],[8654.11,0.00193],[8653.74,0.034667],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.52,0.033625],[8651,0.008252],[8650.92,0.1]]"
1579598568651,"[[8654.36,2],[8654.38,0.394657],[8654.48,0.187685],[8654.53,2],[8654.69,2.034405],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1],[8657.48,0.5],[8657.67,0.5],[8657.92,1.256449],[8658,0.019476]]","[[8653.15,0.003601],[8653.06,0.156052],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.52,0.033625],[8651,0.008252],[8650.92,0.1],[8650.7,0.389613],[8650.54,2.882168],[8650.5,1.028298]]"
1579598568750,"[[8654.32,0.288892],[8654.35,0.105785],[8654.36,2],[8654.38,0.288872],[8654.48,0.187685],[8654.53,2],[8654.69,2.034405],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1],[8657.48,0.5],[8657.67,0.5]]","[[8653.15,0.003601],[8653.06,0.156052],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.52,0.033625],[8651,0.008252],[8650.92,0.1],[8650.54,2.882168],[8650.5,1.028298],[8650.38,0.392272],[8650.19,0.019235]]"
1579598568850,"[[8654.29,0.288893],[8654.31,0.187685],[8654.32,0.288892],[8654.33,0.105785],[8654.36,2],[8654.53,2],[8654.69,2.034405],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1],[8657.48,1.193],[8657.67,0.5]]","[[8653.06,0.156052],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.52,0.033625],[8651,0.008252],[8650.92,0.1],[8650.54,2.882168],[8650.5,1.028298],[8650.38,0.392272],[8650.19,0.019235],[8650.08,0.112001]]"
